"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"Choc Sheep W Macadamia A1095","23/11/2005","13:24:55","Nth Geelong",3215,5.5,"Local","Shop Sales",-38.1083132,144.3357845
"Pendant/Opal Chip/Diamante Plain/Opped","1/1/2015","11:07:56","East Geelong",3219,6.32,"Local","Shop Sales",-38.176358,144.3849841
"Bracelet - Magnetic Re Mh300015","8/10/2007","17:04:54","KELLYVILLE - NSW",2155,29.95,"Local","Shop Sales",-33.6880666,150.9423702
"Dino Wind Up Toy","15/11/2008","11:51:31","Meredith",3333,3.95,"Local","Shop Sales",-37.8585983,144.0194472
"Bracelet - Wattle/Wide","5/12/2005","11:12:33","Belmont / Grovedale / Highton",3216,29.95,"Local","Shop Sales",-38.1747227,144.3139277
"Sock - Stockpile 6-10 Blk","13/6/2014","1:46:23","Belmont / Grovedale / Highton",3216,15,"Local","Shop Sales",-38.1747227,144.3139277
"Lanolin Skin Cream 250 G(H/W)","20/4/2014","3:26:51","Belmont / Grovedale / Highton",3216,9.05,"Local","Shop Sales",-38.1747227,144.3139277
"Concession - Redeem Nwm & Fdc","31/10/2010","15:00:03","ELIZABETH DOWNS - SA",5113,0,"Local","Shop Sales",-34.7049853,138.673985
"Cloth/Badge I Drove The Gor","27/10/2010","8:57:03","Moe",3825,7.23,"Local","Shop Sales",-38.0474021,146.2929381
"%Nwm - Child Admit","1/1/2012","12:15:59","Doncaster",3108,4,"Local","Ticket Sales",-37.7865824,145.1210303
"Wombat 6""","9/7/2012","12:26:00","St Leonards/Indented Head/Portarlington",3223,4.5,"Local","Shop Sales",-38.1610488,144.6753231
"Glove/Lace Pink/Msnug","16/12/2006","13:55:14","Rushworth",3612,24.95,"Local","Shop Sales",-36.602205,145.005249
"Magnet/Nwm Shaped Top","19/1/2011","11:36:09","Mooroopna",3629,4.5,"Local","Shop Sales",-36.2976747,145.2922335
"Bracelet - Iron Ore Ir300003","23/11/2006","15:06:03","AIRDS - NSW",2560,14.95,"Local","Shop Sales",-34.2364674,150.8144215
"%Nwm - Concess Admit","3/1/2008","15:06:15","Kew",3101,5.9,"Local","Ticket Sales",-37.803516,145.0328017
"%Nwm - Adult Admit","17/5/2015","12:06:32","Belmont / Grovedale / Highton",3216,8.25,"Local","Ticket Sales",-38.1747227,144.3139277
"Sock 87c/Mens/Health/Reg/Blk","19/11/2013","10:36:30","Geelong",3220,18.14,"Local","Shop Sales",-38.155681,144.3521811
"Postcard-W/Front Aerial G'long 1-10008","7/12/2014","3:25:25","CARRINGTON - QLD",4350,0.86,"Local","Shop Sales",-27.5564884,151.9533185
"%Nwm & Fdc - Concession","23/5/2010","13:49:45","East Geelong",3219,9,"Local","Ticket Sales",-38.176358,144.3849841
"%Nwm - Adult Admit","22/8/2012","3:14:35","ADELAIDE STREET PO - QLD",4000,7.5,"Local","Ticket Sales",-27.4660994,153.023588
"Lamb - Woollies 20942 Ass. Colors","5/7/2011","10:47:53","Nth Geelong",3215,9.05,"Local","Shop Sales",-38.1083132,144.3357845
"Lanolin/Sunscreen/Royal Jelly 100g (H/W)","14/10/2005","14:02:30","Altona",3018,9.95,"Local","Shop Sales",-37.859343,144.8126334
"%Nwm - Child Admit","1/10/2014","11:36:05","Geelong",3220,4.5,"Local","Ticket Sales",-38.155681,144.3521811
"Body Spray - Lemon Myrtle","22/8/2009","11:34:54","CHIFLEY - ACT",2606,9.95,"Local","Shop Sales",-35.3490795,149.0898262
"Postcards - Bollards Lydia & Elsie","15/5/2011","12:51:59","Mildura",3500,1.36,"Local","Shop Sales",-34.2151229,142.1169401
"Superb Fairy Wren / 81632","16/5/2010","14:47:24","Geelong",3220,11.77,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Adult Admit","29/5/2011","13:07:46","Glen Waverley",3150,7.3,"Local","Ticket Sales",-37.8921876,145.1706992
"Socks - Ladies 2-8  Navy & Black","22/5/2011","11:14:13","Bentleigh",3204,15.41,"Local","Shop Sales",-37.9193526,145.0438252
"%Nwm - Child Admit","3/4/2012","12:58:19","Airelys Inlet",3221,4,"Local","Ticket Sales",-38.1636337,144.1501922
"%Nwm - Family Adm (2+4)","5/12/2010","13:40:19","Sandringham",3191,20,"Local","Ticket Sales",-37.9533967,145.0135139
"%Nwm - Group Adult Adm","8/1/2008","9:52:14","Belmont / Grovedale / Highton",3216,126.5,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","5/9/2009","13:59:34","Belmont / Grovedale / Highton",3216,5.9,"Local","Ticket Sales",-38.1747227,144.3139277
"Postcards/Gor/Montage/Go158","5/10/2006","15:53:34","LUGARNO - NSW",2210,0.65,"Local","Shop Sales",-33.9566557,151.0529578
"%Nwm - Adult Admit","17/3/2010","14:05:53","Belmont / Grovedale / Highton",3216,7.3,"Local","Ticket Sales",-38.1747227,144.3139277
"Family Adult - NWM Only","3/7/2011","14:52:56","Lara",3212,0,"Local","Shop Sales",-38.0110859,144.4561033
"%Nwm - Child Admit","18/8/2012","11:35:44","Torquay",3228,4,"Local","Ticket Sales",-38.3419249,144.2374759
"%Nwm - Adult Admit","30/3/2009","11:50:14","Gisborne",3437,7.3,"Local","Ticket Sales",-37.5197014,144.5437205
"%Nwm - Concess Admit","5/7/2011","13:12:53","Ocean Grove",3226,6,"Local","Ticket Sales",-38.2573292,144.5382417
"Card - Ryrie Street, Geelong","18/5/2007","13:30:56","East Geelong",3219,4.95,"Local","Shop Sales",-38.176358,144.3849841
"Keyring - Geelong Badged","28/11/2009","11:06:28","LUGARNO - NSW",2210,6.32,"Local","Shop Sales",-33.9566557,151.0529578
"NWM - Free Admission","9/3/2015","10:33:31","West Geelong",3218,0,"Local","Shop Sales",-38.1180538,144.2047333
"%Nwm - Child Admit","2/10/2009","13:47:18","Mount Martha",3934,3.65,"Local","Ticket Sales",-38.287039,145.016269
"%Nwm - Child Admit","13/7/2011","11:11:11","Belmont / Grovedale / Highton",3216,4,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Child Admit","1/2/2012","11:18:38","Lara",3212,4,"Local","Ticket Sales",-38.0110859,144.4561033
"Nwm Membership - Concess %","9/6/2010","13:09:23","Belmont / Grovedale / Highton",3216,0,"Local","Membership Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","21/6/2009","16:14:38","Queenscliff",3225,5.9,"Local","Ticket Sales",-38.2735587,144.5985292
"%Nwm - Child Admit","20/6/2007","16:26:03","Geelong",3220,3.65,"Local","Ticket Sales",-38.155681,144.3521811
"Dinosaur/Mesoic","27/1/2013","12:11:46","Chelsea",3196,3.59,"Local","Shop Sales",-38.048116,145.1210303
"Nought & Crosses Board Sheep","11/10/2006","11:26:01","AUSTINMER - NSW",2515,14.95,"Local","Shop Sales",-34.295339,150.933643
"%Nwm - Concess Admit","21/9/2009","13:06:00","CORINDA - QLD",4075,5.9,"Local","Ticket Sales",-27.5443032,152.9823847
"Stinger Lo/Chestnut 13w","16/6/2006","15:35:17","Geelong",3220,110,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Concess Admit","15/8/2013","3:28:15","ALFRED TOWN - NSW",2650,6,"Local","Ticket Sales",-35.283152,147.4174803
"Shot Glass/Badge/Bollard/Lifesaver","16/3/2015","10:12:01","MODBURY - SA",5092,8.14,"Local","Shop Sales",-34.8192845,138.6840168
"Postcards - Bollards Rippleside Swim Clu","15/8/2010","9:29:25","JAGGAN - QLD",4885,1.36,"Local","Shop Sales",-17.3535838,145.5936206
"Mocco/Black 12","22/7/2008","10:59:55","Ocean Grove",3226,32.95,"Local","Shop Sales",-38.2573292,144.5382417
"%Nwm - Concess Admit","13/8/2013","2:39:11","Frankston",3199,6,"Local","Ticket Sales",-38.1645944,145.1486206
"Boomerang Carded/Contemporary","18/2/2007","11:38:55","Belmont / Grovedale / Highton",3216,14.95,"Local","Shop Sales",-38.1747227,144.3139277
"Wooli Warmer - Medi Pak","28/12/2008","12:06:07","Melbourne",3000,29.95,"Local","Shop Sales",-37.8152065,144.963937
"Family Child - NWM Only","6/7/2013","12:29:28","Wangaratta",3677,0,"Local","Shop Sales",-36.3742363,146.3264849
"Christmas Decoration - Pewter","5/12/2005","13:32:33","Airelys Inlet",3221,17.95,"Local","Shop Sales",-38.1636337,144.1501922
"%Nwm - Concess Admit","20/1/2014","2:00:50","Belmont / Grovedale / Highton",3216,6,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","6/10/2007","14:19:36","ALBANY - WA",6330,5.9,"Local","Ticket Sales",-34.9754734,117.8780275
"Mug/Latte/Sheep","29/10/2012","1:19:04","Drysdale / Clifton Springs",3222,15.41,"Local","Shop Sales",-38.2049453,144.5875645
"Gift Card - Laughing Kookaburra (J Boot)","18/10/2009","9:58:03","Geelong",3220,1.36,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Adult Admit","30/3/2010","13:13:57","Geelong",3220,7.3,"Local","Ticket Sales",-38.155681,144.3521811
"%Nwm - Seniors Week","7/10/2010","11:38:30","Bacchus Marsh",3340,20,"Local","Ticket Sales",-37.7356162,144.4123303
"Gift Card - Laughing Kookaburra (J Boot)","8/4/2012","4:17:04","Corio",3214,1.36,"Local","Shop Sales",-38.0788809,144.3576473
"Handtowel - Embroidered","22/8/2008","15:43:47","Surrey Hills",3127,16.95,"Local","Shop Sales",-37.8259003,145.0989646
"%Nwm - Concess Admit","27/2/2012","11:34:29","Gisborne",3437,6,"Local","Ticket Sales",-37.5197014,144.5437205
"%Nwm - Concess Admit","12/5/2015","2:22:12","Belmont / Grovedale / Highton",3216,6.5,"Local","Ticket Sales",-38.1747227,144.3139277
"Lanolin/Sunscreen/Royal Jelly 100g (H/W)","2/9/2009","11:31:20","West Geelong",3218,9.95,"Local","Shop Sales",-38.1180538,144.2047333
"Bracelet Bo142a","16/4/2006","15:56:22","Warracknabeal",3393,34.95,"Local","Shop Sales",-36.2167744,142.4039296
"Knitting Nancy Doll","21/2/2008","12:41:39","Vermont",3133,9.95,"Local","Shop Sales",-37.8500602,145.1983055
"Aqua Grow - Dinosaurs Assort","17/10/2008","12:04:01","Belmont / Grovedale / Highton",3216,4.95,"Local","Shop Sales",-38.1747227,144.3139277
"Excavation Kit/Stegos'rus","25/1/2013","2:59:32","Geelong",3220,22.68,"Local","Shop Sales",-38.155681,144.3521811
"Family Child - NWM Only","6/7/2014","11:21:31","GLEN OSMOND - SA",5064,0,"Local","Shop Sales",-34.9585672,138.6439004
"Nwm Membership - Adult %","30/1/2006","15:22:23","Nth Geelong",3215,20,"Local","Membership Sales",-38.1083132,144.3357845
"%Nwm - Adult Admit","7/4/2009","11:10:58","Belmont / Grovedale / Highton",3216,7.3,"Local","Ticket Sales",-38.1747227,144.3139277
"Pen/Geelong Wooden Pens","22/10/2012","1:08:24","Geelong",3220,25.41,"Local","Shop Sales",-38.155681,144.3521811
"Card - Coastal Christmas","1/12/2008","10:37:36","Meredith",3333,5.95,"Local","Shop Sales",-37.8585983,144.0194472
"Coin/Box/Leather/Lp02","27/11/2013","3:11:57","Melbourne",3000,4.5,"Local","Shop Sales",-37.8152065,144.963937
"Adult - Redeem  Nwm & Fdc","18/2/2007","13:39:35","BOOLEROO CENTRE - SA",5482,0,"Local","Shop Sales",-32.8593312,138.3589086
"%Nwm - Adult Admit","9/10/2013","11:33:15","Chelsea",3196,7.5,"Local","Ticket Sales",-38.048116,145.1210303
"%Nwm - Family Adm(2+2)","3/11/2010","13:06:47","Ocean Grove",3226,20,"Local","Ticket Sales",-38.2573292,144.5382417
"%Nwm - Adult Admit","16/4/2015","9:56:31","Leopold",3224,8.25,"Local","Ticket Sales",-38.1833957,144.4451578
"%Nwm - Adult Admit","29/9/2008","12:40:11","Werribee",3030,7.3,"Local","Ticket Sales",-37.938058,144.6753231
"Family Child - NWM Only","26/1/2011","13:39:55","Tarneit",3029,0,"Local","Shop Sales",-37.8282806,144.7082568
"Socks-Nwm - Mens Black 7-11","28/12/2010","10:49:16","KIMBERLEY PARK - QLD",4128,9.05,"Local","Shop Sales",-27.6519632,153.1737578
"Postcard/Geelong Baths Swim Club","22/9/2011","12:37:43","East Geelong",3219,1.14,"Local","Shop Sales",-38.176358,144.3849841
"%Nwm - 2 For 1 Concession Adm","2/6/2013","1:31:21","Keilor",3036,6,"Local","Ticket Sales",-37.6912843,144.8126334
"Postcards - Bollards Scallop F/Men","30/4/2011","13:27:16","BONDI JUNCTION - NSW",2022,1.36,"Local","Shop Sales",-25.274398,133.775136
"Postcard/Geelong Baths Swim Club","19/1/2015","2:06:45","St Leonards/Indented Head/Portarlington",3223,1.14,"Local","Shop Sales",-38.1610488,144.6753231
"Lamb/Baby/Aust/Bow Sun11","23/2/2012","11:49:08","Corio",3214,4.5,"Local","Shop Sales",-38.0788809,144.3576473
"Hanky/Lds/Emb","4/12/2007","16:42:59","Geelong",3220,6.5,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Concess Admit","1/2/2007","11:33:55","BRIGHTON - SA",5048,11.8,"Local","Ticket Sales",-35.0185675,138.5237246
"Coat - 40119/Panel/W White","22/4/2012","1:59:38","Inverloch",3996,177.27,"Local","Shop Sales",-38.6086874,145.7800733
"Nwm Membership - Family %","12/10/2013","12:09:42","Belmont / Grovedale / Highton",3216,40,"Local","Membership Sales",-38.1747227,144.3139277
"%Nwm - Family Adm (2+4)","3/7/2011","12:03:15","Queenscliff",3225,25,"Local","Ticket Sales",-38.2735587,144.5985292
"Kanga/T-Shirt/Roo 27ss","21/11/2014","3:10:02","West Geelong",3218,11.77,"Local","Shop Sales",-38.1180538,144.2047333
"Coat-Horizontal Pockets Siz18/4011/Black","29/4/2008","12:21:23","Geelong",3220,179,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Concess Admit","22/4/2007","14:48:38","Beeac",3251,11.8,"Local","Ticket Sales",-38.1418099,143.6718623
"%Nwm - Concess Admit","19/8/2014","11:24:15","Williamstown",3016,6.5,"Local","Ticket Sales",-37.8571449,144.8813738
"Great Ocean Rd (Nucol)","22/7/2006","11:29:05","Belmont / Grovedale / Highton",3216,10.95,"Local","Shop Sales",-38.1747227,144.3139277
"Geelong & Bellarine Peninsula","29/11/2008","13:32:43","West Geelong",3218,34.95,"Local","Shop Sales",-38.1180538,144.2047333
"%Nwm - Child Admit","9/1/2012","12:15:53","Lara",3212,4,"Local","Ticket Sales",-38.0110859,144.4561033
"Card -Eastern Rosella/M Cole","19/12/2014","10:30:21","Frankston North",3200,5.41,"Local","Shop Sales",-38.1250223,145.162419
"Stole - Pip Assorted","26/8/2009","13:32:53","Dromana",3936,39.95,"Local","Shop Sales",-38.3352183,144.9942305
"Postcards - Bollards Town Bath Club","9/5/2012","2:22:30","Frankston",3199,1.36,"Local","Shop Sales",-38.1645944,145.1486206
"That's Not My Lamb B/B","8/1/2015","12:34:54","Barwon Heads",3227,13.59,"Local","Shop Sales",-38.2498059,144.4232713
"Throw Rug - Mohair/Kakadu","14/1/2006","15:13:15","Carlton North",3054,145,"Local","Shop Sales",-37.7843702,144.9694441
"Bag - Sheep Brown","17/12/2010","12:40:09","AUSTRALIA SQUARE PO - NSW",2000,11.77,"Local","Shop Sales",-33.8708464,151.20733
"Postcard - Nwm 3 Sheep","15/4/2014","12:58:09","Geelong",3220,0.91,"Local","Shop Sales",-38.155681,144.3521811
"Card - Fairy Wrens /M Cole","17/5/2014","2:29:52","Belmont / Grovedale / Highton",3216,5.41,"Local","Shop Sales",-38.1747227,144.3139277
"Postcard-W/Front Aerial G'long 1-10008","13/5/2013","10:38:43","YANCO - NSW",2703,0.86,"Local","Shop Sales",-34.6260147,146.3936145
"Card - Gift/Koala/Hawthorn","1/3/2013","4:47:42","EAST HILLS - NSW",2213,0.45,"Local","Shop Sales",-33.9519315,150.9947439
"Postcards/4 Scene Geelong/11ge001/Dno","30/8/2006","13:39:50","East Geelong",3219,0.65,"Local","Shop Sales",-38.176358,144.3849841
"Jmpr/Poss/Mount/Ms1433/Teak","6/11/2013","2:41:28","Belmont / Grovedale / Highton",3216,162.73,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Seniors Week","6/10/2011","13:15:41","Belmont / Grovedale / Highton",3216,2,"Local","Ticket Sales",-38.1747227,144.3139277
"Koala 6""","12/7/2007","15:50:03","Belmont / Grovedale / Highton",3216,4.95,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","23/6/2012","1:55:23","Geelong",3220,420,"Local","Ticket Sales",-38.155681,144.3521811
"Bag/Vint/Apricot/Tie/Strap/2/27(Cons)","7/12/2011","4:47:46","Ocean Grove",3226,154.5,"Local","Shop Sales",-38.2573292,144.5382417
"%Nwm - Child Admit","9/1/2015","11:45:32","Lara",3212,4.5,"Local","Ticket Sales",-38.0110859,144.4561033
"%Nwm - Adult Admit","7/3/2010","14:03:12","East Geelong",3219,7.3,"Local","Ticket Sales",-38.176358,144.3849841
"%Nwm - Seniors Week","5/10/2010","12:35:27","Aireys Inlet-F",3231,2,"Local","Ticket Sales",-38.451657,144.0521131
"Magnet/Cube/Gor","3/5/2014","3:56:56","Corio",3214,4.09,"Local","Shop Sales",-38.0788809,144.3576473
"%Nwm - Concess Admit","18/1/2015","2:06:35","Belmont / Grovedale / Highton",3216,6.5,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","8/12/2012","10:15:23","Five Ways",3977,30,"Local","Ticket Sales",-38.1347885,145.2811778
"%Nwm - Concess Admit","22/1/2015","12:11:49","Ocean Grove",3226,6.5,"Local","Ticket Sales",-38.2573292,144.5382417
"Family Child - NWM Only","10/1/2010","11:29:42","Bendigo",3550,0,"Local","Shop Sales",-36.7665875,144.2920769
"Payment","13/7/2009","15:37:51","Nth Geelong",3215,40,"Local","Shop Sales",-38.1083132,144.3357845
"Outback Hi/Sand 6m","2/8/2008","15:11:09","Torquay",3228,150,"Local","Shop Sales",-38.3419249,144.2374759
"%Nwm - Child Admit","20/9/2014","11:49:57","East Geelong",3219,4.5,"Local","Ticket Sales",-38.176358,144.3849841
"Scarf/V Assorted Gift Zone","11/4/2014","10:34:12","Anglesea",3230,36.32,"Local","Shop Sales",-38.3850062,144.1501922
"%Nwm - Adult Admit","28/9/2011","13:10:43","Belmont / Grovedale / Highton",3216,7.5,"Local","Ticket Sales",-38.1747227,144.3139277
"Kids Story/Grandpa Kangaroo","26/8/2010","14:00:35","Queenscliff",3225,4.5,"Local","Shop Sales",-38.2735587,144.5985292
"%Nwm - Child Admit","26/3/2015","11:57:36","CANTON BEACH - NSW",2263,4.5,"Local","Ticket Sales",-33.2504355,151.5077645
"Pen - Aust Wildlife Bpnwl/6","1/2/2008","17:12:37","Belmont / Grovedale / Highton",3216,1.95,"Local","Shop Sales",-38.1747227,144.3139277
"Lanolin/Sunscreen/Royal Jelly 100g (H/W)","9/7/2007","14:49:19","Melbourne",3000,9.95,"Local","Shop Sales",-37.8152065,144.963937
"Lanolin Balm As-0950","23/5/2006","14:06:29","Casterton",3311,7.95,"Local","Shop Sales",-37.5824909,141.2841298
"Postcards/Gor/Montage/Go158","24/3/2015","12:54:51","Bendigo",3550,0.59,"Local","Shop Sales",-36.7665875,144.2920769
"Misc. Discount - NWM Shop","1/3/2010","14:49:30","Belmont / Grovedale / Highton",3216,4.32,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm & Fdc - Adult","8/11/2008","11:45:28","Nth Geelong",3215,11.5,"Local","Ticket Sales",-38.1083132,144.3357845
"Magnet/Nwm Lamb Design","23/12/2014","10:03:57","East Geelong",3219,5.41,"Local","Shop Sales",-38.176358,144.3849841
"Pete The Sheep (S/Cover)","9/11/2014","4:01:44","Werribee",3030,13.59,"Local","Shop Sales",-37.938058,144.6753231
"%Nwm - Adult Admit","26/2/2014","12:07:33","Mount Helen",3350,7.5,"Local","Ticket Sales",-37.5691087,143.8563224
"%Nwm - Adult Admit","9/11/2008","11:30:54","Ocean Grove",3226,7.3,"Local","Ticket Sales",-38.2573292,144.5382417
"Scarf - 71457 Self Stripe","23/9/2008","11:18:43","Werribee",3030,39.95,"Local","Shop Sales",-37.938058,144.6753231
"%Nwm - Adult Admit","10/7/2012","10:46:33","Barwon Heads",3227,7.5,"Local","Ticket Sales",-38.2498059,144.4232713
"%Nwm - Child Admit","11/1/2014","11:50:25","BALPOOL - NSW",2710,8,"Local","Ticket Sales",-35.247342,144.9611836
"Postcard/Geelong Baths Swim Club","10/5/2012","12:27:51","Torquay",3228,1.14,"Local","Shop Sales",-38.3419249,144.2374759
"Soap - Boxed Aromatics","30/7/2008","13:11:06","Belmont / Grovedale / Highton",3216,19.95,"Local","Shop Sales",-38.1747227,144.3139277
"Card -  Towards Western Beach","12/5/2008","10:24:04","Belmont / Grovedale / Highton",3216,5.5,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Child Admit","11/1/2012","10:36:26","Belmont / Grovedale / Highton",3216,4,"Local","Ticket Sales",-38.1747227,144.3139277
"T-Shirt/Polo/Kanga","13/6/2005","15:24:12","Barwon Heads",3227,49.95,"Local","Shop Sales",-38.2498059,144.4232713
"Sock/46c/Health/No Elastic/Mens/Reg","22/11/2013","12:30:41","Belmont / Grovedale / Highton",3216,18.14,"Local","Shop Sales",-38.1747227,144.3139277
"Family Adult - NWM Only","5/9/2009","13:36:54","Belmont / Grovedale / Highton",3216,0,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Child Admit","4/12/2011","3:56:42","East Geelong",3219,4,"Local","Ticket Sales",-38.176358,144.3849841
"Magnifying Lens","23/12/2011","9:54:43","Colac",3250,5.41,"Local","Shop Sales",-38.3313559,143.5852111
"%Nwm - Adult Admit","6/1/2014","1:52:52","Narre Warren",3805,7.5,"Local","Ticket Sales",-38.0302499,145.3032906
"Family Child - NWM Only","9/7/2014","9:57:42","BALPOOL - NSW",2710,0,"Local","Shop Sales",-35.247342,144.9611836
"Badge - Geelong Small","15/9/2006","13:40:14","COONAWARRA - SA",5263,3.95,"Local","Shop Sales",-37.294215,140.8248263
"Great Ocean Walk","31/5/2006","14:13:56","Barwon Heads",3227,3.95,"Local","Shop Sales",-38.2498059,144.4232713
"%Nwm - Concess Admit","2/1/2010","13:41:31","Elwood",3184,5.9,"Local","Ticket Sales",-37.878722,144.9859676
"Aust Poems/Gnome And Garden","18/4/2010","10:34:06","Dandenong",3175,13.59,"Local","Shop Sales",-38.0191689,145.2148736
"%Nwm - Concess Admit","12/7/2010","11:07:40","Mooroolbark",3138,5.9,"Local","Ticket Sales",-37.7822365,145.3309395
"Necklace - Iron Ore Ir200107","15/7/2005","15:33:23","Belmont / Grovedale / Highton",3216,24.95,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","25/7/2010","14:54:09","Belmont / Grovedale / Highton",3216,7.3,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","5/7/2014","10:56:28","Queenscliff",3225,6,"Local","Ticket Sales",-38.2735587,144.5985292
"Sticker - Geelong (Cs)","28/7/2012","9:17:53","MOUNT BARKER - SA",5251,2.68,"Local","Shop Sales",-35.0961731,138.9001364
"NWM - Free Admission","7/4/2010","11:26:58","Nth Geelong",3215,0,"Local","Shop Sales",-38.1083132,144.3357845
"Postcard/Rippleside Swimming Club","7/12/2011","12:33:17","Melbourne",3000,1.14,"Local","Shop Sales",-37.8152065,144.963937
"Keyring - Nwm Round Metal","28/12/2006","11:03:12","Goornong",3557,2.95,"Local","Shop Sales",-36.6546373,144.5437205
"%Nwm - Child Admit","8/2/2013","2:52:10","Lara",3212,4,"Local","Ticket Sales",-38.0110859,144.4561033
"%Nwm - Group Adult Adm","17/5/2006","10:40:32","BENNETTS HEAD - NSW",2428,225.5,"Local","Ticket Sales",-32.2735633,152.4738975
"Hat/Buffalo Leather/Brown/M/Lge","26/11/2011","11:55:38","Moonee Ponds",3039,50,"Local","Shop Sales",-37.7675363,144.9198932
"Sheep/Bean Sml","14/2/2006","14:14:00","Geelong",3220,5.95,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Seniors Week","7/10/2014","4:03:15","BRISBANE SOUTH - QLD",4101,2,"Local","Ticket Sales",-27.4799195,153.0118145
"Keyring/Glass/Blue Wren 0005","16/11/2010","12:01:35","Heathmont",3135,4.09,"Local","Shop Sales",-37.8218486,145.2535448
"Keyring- Standing Kanga/Wooden/Zody","23/12/2011","3:19:48","Nth Geelong",3215,5,"Local","Shop Sales",-38.1083132,144.3357845
"%Nwm - Concess Admit","10/4/2015","11:40:49","Torquay",3228,6.5,"Local","Ticket Sales",-38.3419249,144.2374759
"%Nwm - Adult Admit","21/8/2013","11:15:38","ALANVALE - TAS",7248,7.5,"Local","Ticket Sales",-41.3887982,147.1446457
"%Nwm - Concess Admit","24/9/2005","11:13:10","ALDERLEY - QLD",4051,5.9,"Local","Ticket Sales",-27.4261914,152.9882693
"%Nwm - Adult Admit","25/4/2013","12:45:02","Guys Hill",3807,7.5,"Local","Ticket Sales",-38.0347309,145.3862638
"Bookmark- Sheep","4/10/2010","11:05:56","Mordialloc",3195,4.09,"Local","Shop Sales",-38.0005492,145.1044805
"Throw Rug/Alpaca/Lt Olive (St Alb) Dno","28/8/2010","16:43:03","Barongarook",3249,180.91,"Local","Shop Sales",-38.36853,143.4338092
"%Nwm - Adult Admit","15/12/2013","12:35:36","Balwyn North",3104,7.5,"Local","Ticket Sales",-37.7941151,145.0879338
"Placemat & Napkin/Beige/Blue Wren","22/4/2010","12:15:05","Belmont / Grovedale / Highton",3216,13.59,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - 2 For 1 Adult Adm","25/3/2008","10:56:50","Leopold",3224,7.3,"Local","Ticket Sales",-38.1833957,144.4451578
"%Nwm - Concess Admit","3/7/2009","15:23:01","Belmont / Grovedale / Highton",3216,5.9,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","15/7/2006","15:05:00","Ocean Grove",3226,5.9,"Local","Ticket Sales",-38.2573292,144.5382417
"Earring/Iron Ore/Ir100213","24/11/2006","11:28:31","Geelong",3220,19.95,"Local","Shop Sales",-38.155681,144.3521811
"Nwm - Ghc Visitors","16/7/2013","10:19:05","Leopold",3224,0,"Local","Shop Sales",-38.1833957,144.4451578
"%Nwm - Adult Admit","15/10/2010","16:00:15","Melbourne",3000,14.6,"Local","Ticket Sales",-37.8152065,144.963937
"%Nwm -  Adult - Xmas In Woolshed","9/12/2010","13:27:58","Deer Park",3023,5,"Local","Ticket Sales",-37.7687064,144.7521888
"Lanolin/Anti Wrinkle/Night Cream","19/10/2007","15:24:18","Geelong",3220,9.95,"Local","Shop Sales",-38.155681,144.3521811
"Cap/Suede Peak/Khaki/Kanga","24/4/2009","13:36:54","Belmont / Grovedale / Highton",3216,14.95,"Local","Shop Sales",-38.1747227,144.3139277
"Family Adult - NWM Only","7/7/2011","11:34:45","Belmont / Grovedale / Highton",3216,0,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Child Admit","20/1/2012","10:30:05","St Leonards/Indented Head/Portarlington",3223,4,"Local","Ticket Sales",-38.1610488,144.6753231
"%Nwm - Concess Admit","27/1/2010","15:27:47","Aireys Inlet-F",3231,5.9,"Local","Ticket Sales",-38.451657,144.0521131
"Postcards/4 Scene Geelong/11ge001/Dno","1/4/2007","15:17:35","KINGSTON - TAS",7050,0.65,"Local","Shop Sales",-42.9553592,147.2997707
"Oven Mitt/Double - Green Tree Frog","30/6/2012","9:47:39","Geelong",3220,12.27,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm & Fdc - Concession","17/4/2008","11:20:42","AMAMOOR - QLD",4570,17,"Local","Ticket Sales",-26.1882554,152.6705427
